LABEL,PARENT,ID,VISITORS
Crypto Buy: simulation,"1, 2, 4, 2, 4, 2, 6, 7, ","1, 2, 4, 2, 4, 2, 6, 7, 6, ",1
Crypto Buy: success,"1, 2, 4, 2, 4, 2, 6, 7, 6, ","1, 2, 4, 2, 4, 2, 6, 7, 6, 7, ",1
Crypto Buy: simulation,"1, 2, 4, 2, 4, 2, 6, 7, 6, 7, ","1, 2, 4, 2, 4, 2, 6, 7, 6, 7, 6, ",1
Savings Placement: failed,"1, 2, 4, 2, 4, ","1, 2, 4, 2, 4, 3, ",2
Savings Placement: simulation,"1, 2, 4, 2, 4, 3, ","1, 2, 4, 2, 4, 3, 2, ",2
Savings Placement: failed,"1, 2, 4, 2, 4, 3, 2, ","1, 2, 4, 2, 4, 3, 2, 3, ",1
Savings Placement: simulation,"1, 2, 4, 2, 4, 3, 2, 3, ","1, 2, 4, 2, 4, 3, 2, 3, 2, ",1
Savings Placement: success,"1, 2, 4, 2, 4, 3, 2, 3, 2, ","1, 2, 4, 2, 4, 3, 2, 3, 2, 4, ",1
Savings Placement: simulation,"1, 2, 4, 2, 4, 3, 2, 3, 2, 4, ","1, 2, 4, 2, 4, 3, 2, 3, 2, 4, 2, ",1
Savings Placement: success,"1, 2, 4, 2, 4, 3, 2, ","1, 2, 4, 2, 4, 3, 2, 4, ",1
Savings Placement: simulation,"1, 2, 4, 2, 4, 3, 2, 4, ","1, 2, 4, 2, 4, 3, 2, 4, 2, ",1
Savings Placement: failed,"1, 2, 4, 2, 4, 3, 2, 4, 2, ","1, 2, 4, 2, 4, 3, 2, 4, 2, 3, ",1
Savings Placement: simulation,"1, 2, 4, 2, 4, 3, 2, 4, 2, 3, ","1, 2, 4, 2, 4, 3, 2, 4, 2, 3, 2, ",1
Savings Withdrawal: simulation,"1, 2, 4, 2, 4, ","1, 2, 4, 2, 4, 5, ",14
Savings Withdrawal: success,"1, 2, 4, 2, 4, 5, ","1, 2, 4, 2, 4, 5, 12, ",11
Savings Withdrawal: simulation,"1, 2, 4, 2, 4, 5, 12, ","1, 2, 4, 2, 4, 5, 12, 5, ",3
Savings Withdrawal: success,"1, 2, 4, 2, 4, 5, 12, 5, ","1, 2, 4, 2, 4, 5, 12, 5, 12, ",1
Savings Placement: simulation,"1, 2, 4, 2, 4, 5, 12, 5, ","1, 2, 4, 2, 4, 5, 12, 5, 2, ",1
Savings Placement: success,"1, 2, 4, 2, 4, 5, 12, 5, 2, ","1, 2, 4, 2, 4, 5, 12, 5, 2, 4, ",1
Crypto Buy: simulation,"1, 2, 4, 2, 4, 5, 12, ","1, 2, 4, 2, 4, 5, 12, 6, ",1
Crypto Buy: success,"1, 2, 4, 2, 4, 5, 12, 6, ","1, 2, 4, 2, 4, 5, 12, 6, 7, ",1
Crypto Buy: simulation,"1, 2, 4, 2, 4, 5, 12, 6, 7, ","1, 2, 4, 2, 4, 5, 12, 6, 7, 6, ",1
Crypto Buy: success,"1, 2, 4, 2, 4, 5, 12, 6, 7, 6, ","1, 2, 4, 2, 4, 5, 12, 6, 7, 6, 7, ",1
Savings Placement: simulation,"1, 2, 4, 2, 4, 5, ","1, 2, 4, 2, 4, 5, 2, ",2
Savings Placement: success,"1, 2, 4, 2, 4, 5, 2, ","1, 2, 4, 2, 4, 5, 2, 4, ",2
Savings Placement: simulation,"1, 2, 4, 2, 4, 5, 2, 4, ","1, 2, 4, 2, 4, 5, 2, 4, 2, ",1
Savings Placement: success,"1, 2, 4, 2, 4, 5, 2, 4, 2, ","1, 2, 4, 2, 4, 5, 2, 4, 2, 4, ",1
Savings Withdrawal: simulation,"1, 2, 4, 2, 4, 5, 2, 4, 2, 4, ","1, 2, 4, 2, 4, 5, 2, 4, 2, 4, 5, ",1
Savings Withdrawal: simulation,"1, 2, 4, 2, 4, 5, 2, 4, ","1, 2, 4, 2, 4, 5, 2, 4, 5, ",1
Savings Withdrawal: success,"1, 2, 4, 2, 4, 5, 2, 4, 5, ","1, 2, 4, 2, 4, 5, 2, 4, 5, 12, ",1
Savings Placement: simulation,"1, 2, 4, 2, 4, 5, 2, 4, 5, 12, ","1, 2, 4, 2, 4, 5, 2, 4, 5, 12, 2, ",1
Crypto Buy: simulation,"1, 2, 4, 2, 4, ","1, 2, 4, 2, 4, 6, ",5
Crypto Buy: success,"1, 2, 4, 2, 4, 6, ","1, 2, 4, 2, 4, 6, 7, ",5
Savings Withdrawal: simulation,"1, 2, 4, 2, 4, 6, 7, ","1, 2, 4, 2, 4, 6, 7, 5, ",3
Savings Withdrawal: success,"1, 2, 4, 2, 4, 6, 7, 5, ","1, 2, 4, 2, 4, 6, 7, 5, 12, ",2
Savings Withdrawal: simulation,"1, 2, 4, 2, 4, 6, 7, 5, 12, ","1, 2, 4, 2, 4, 6, 7, 5, 12, 5, ",1
Crypto Buy: simulation,"1, 2, 4, 2, 4, 6, 7, 5, 12, 5, ","1, 2, 4, 2, 4, 6, 7, 5, 12, 5, 6, ",1
Crypto Buy: simulation,"1, 2, 4, 2, 4, 6, 7, 5, 12, ","1, 2, 4, 2, 4, 6, 7, 5, 12, 6, ",1
Crypto Buy: success,"1, 2, 4, 2, 4, 6, 7, 5, 12, 6, ","1, 2, 4, 2, 4, 6, 7, 5, 12, 6, 7, ",1
Savings Placement: simulation,"1, 2, 4, 2, 4, 6, 7, 5, ","1, 2, 4, 2, 4, 6, 7, 5, 2, ",1
Savings Placement: success,"1, 2, 4, 2, 4, 6, 7, 5, 2, ","1, 2, 4, 2, 4, 6, 7, 5, 2, 4, ",1
Crypto Buy: simulation,"1, 2, 4, 2, 4, 6, 7, 5, 2, 4, ","1, 2, 4, 2, 4, 6, 7, 5, 2, 4, 6, ",1
Crypto Buy: simulation,"1, 2, 4, 2, 4, 6, 7, ","1, 2, 4, 2, 4, 6, 7, 6, ",1
Crypto Buy: success,"1, 2, 4, 2, 4, 6, 7, 6, ","1, 2, 4, 2, 4, 6, 7, 6, 7, ",1
Crypto Buy: simulation,"1, 2, 4, 2, 4, 6, 7, 6, 7, ","1, 2, 4, 2, 4, 6, 7, 6, 7, 6, ",1
